"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-05-09",,"83","91","75"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-05-10",,"82","91","74"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-05-11",,"81","91","73"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-05-12",,"83","92",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-05-13",,"84","94","75"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-05-14",,"85","93",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-05-15",,"79","91","71"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-05-16",,"84",,"75"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-05-17",,"82","90","75"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-05-18",,"82",,"75"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-05-19",,"81","88","73"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-05-20",,"80","91",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-05-21","0.59","79","87","70"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-05-22","0.00","80","93",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-05-23","0.02","77","86","71"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-05-24","0.00","79","89","71"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-05-25",,"82","91","75"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-05-26",,"81","90","73"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-05-27",,"81","90","75"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-05-28",,"81","90",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-05-29","0.39","80","88",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-05-30","0.00","80","87",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-05-31",,"81","90","73"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-06-01",,"81","87",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-06-02",,"81","89","74"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-06-03","0.08","79","88","71"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-06-04","0.00","79","87",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-06-05","0.63","78","86","71"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-06-06","0.00","79",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-06-07",,"84","90",
