Data Source,World Development Indicators,,,,,,,,,,,,
,,,,,,,,,,,,,
Last Updated Date,24.10.24,,,,,,,,,,,,
,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cote d'Ivoire,CIV,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,,,5.523789883,,,7.615757942,,6.690000057,6.702744484,
Cote d'Ivoire,CIV,"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,58.55131912,59.37832642,54.36721039,51.82426834,51.95943832,50.1801796,48.04631042,44.43928909,43.78688049,
Cote d'Ivoire,CIV,Trained teachers in secondary education (% of total teachers),SE.SEC.TCAQ.ZS,100,,100,,100,100,100,100,100,
Cote d'Ivoire,CIV,"Trained teachers in secondary education, male (% of male teachers)",SE.SEC.TCAQ.MA.ZS,100,,100,,100,100,100,100,100,
Cote d'Ivoire,CIV,"Trained teachers in secondary education, female (% of female teachers)",SE.SEC.TCAQ.FE.ZS,100,,100,,100,100,100,100,100,
Cote d'Ivoire,CIV,"School enrollment, secondary, private (% of total secondary)",SE.SEC.PRIV.ZS,51.11019135,52.0688591,51.79713058,50.56602097,50.62445068,51.62453079,52.7969017,50.22386932,57.86640167,
Cote d'Ivoire,CIV,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,44.88856888,48.20220184,50.2859993,52.88843155,54.5973587,57.3697319,59.03388977,60.92052841,57.84471893,
Cote d'Ivoire,CIV,"Secondary education, vocational pupils",SE.SEC.ENRL.VO,96805,108384,105353,107060,116644,,,,,93.20834351
Cote d'Ivoire,CIV,"Secondary education, general pupils (% female)",SE.SEC.ENRL.GC.FE.ZS,40.48334,40.78747,41.44249,42.29942,43.18875,,,,,11.1203804
Cote d'Ivoire,CIV,"Secondary education, duration (years)",SE.SEC.DURS,7,7,7,7,7,7,7,7,7,
Cote d'Ivoire,CIV,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS,5.96999979,,,,,5.500988007,,9.710000038,7.382397175,
Cote d'Ivoire,CIV,"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.LO.MA.ZS,29.15999985,,27.16444969,,,20.41805077,,32.68000031,33.93269348,
Cote d'Ivoire,CIV,"Lower secondary completion rate, female (% of relevant age group)",SE.SEC.CMPT.LO.FE.ZS,25.82254982,27.4104805,31.22187996,37.72866058,41.79687881,45.35847855,50.02228165,50.38514709,55.47277832,29.59923935
Cote d'Ivoire,CIV,"Children out of school, primary, male",SE.PRM.UNER.MA,524045,472388,298821,291738,198183,182255,144541,171637,144985,100
Cote d'Ivoire,CIV,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,77.43688,81.39806,91.43801,92.48502,97.6224,,,,,100
Cote d'Ivoire,CIV,"Primary education, teachers",SE.PRM.TCHR,74703,80155,85109,88910,93257,96255,101085,100263,101670,100
Cote d'Ivoire,CIV,"Repeaters, primary, total (% of total enrollment)",SE.PRM.REPT.ZS,15.00569,15.21149,12.66589,11.04798,,,,,,65.42324066
Cote d'Ivoire,CIV,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,84.76747131,82.89389801,,,,77.56916046,67.93488312,63.79664993,,67.96816254
Cote d'Ivoire,CIV,"Persistence to grade 5, female (% of cohort)",SE.PRM.PRS5.FE.ZS,82.46312714,84.06640625,,,,80.50997925,78.83628082,69.96711731,,
Cote d'Ivoire,CIV,"Over-age students, primary, female (% of female enrollment)",SE.PRM.OENR.FE.ZS,12.54243,,9.89105,9.87041,8.28623,,,,,
Cote d'Ivoire,CIV,"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,77.02424,81.39806,87.2792,89.18092,94.02388,,,,,7
Cote d'Ivoire,CIV,"Gross intake ratio in first grade of primary education, male (% of relevant age group)",SE.PRM.GINT.MA.ZS,100.99236,102.4398,111.53038,105.52515,105.20904,,,,,
Cote d'Ivoire,CIV,"School enrollment, primary (% gross)",SE.PRM.ENRR,82.84934998,85.89230347,90.13424683,91.8170929,92.90189362,93.54521942,94.16091156,92.71938324,94.64894104,
Cote d'Ivoire,CIV,"Primary education, duration (years)",SE.PRM.DURS,6,6,6,6,6,6,6,6,6,80.77986145
