Date,Country,GDP,Unemployment,Inflation,TEMP_AVG,PER_AVG
07.08.2014,Ghana,48843000000,4.412,15.489616,25.725,3
08.08.2014,Ghana,48843000000,4.412,15.489616,26.19,0
09.08.2014,Ghana,48843000000,4.412,15.489616,24.8,1.54
10.08.2014,Ghana,48843000000,4.412,15.489616,25.5875,0.2
11.08.2014,Ghana,48843000000,4.412,15.489616,25.3,0
12.08.2014,Ghana,48843000000,4.412,15.489616,25.64444444,0
13.08.2014,Ghana,48843000000,4.412,15.489616,24.33333333,0
14.08.2014,Ghana,48843000000,4.412,15.489616,25.38,0.15
15.08.2014,Ghana,48843000000,4.412,15.489616,25.8125,0
16.08.2014,Ghana,48843000000,4.412,15.489616,24.2,0
17.08.2014,Ghana,48843000000,4.412,15.489616,25.92857143,0
18.08.2014,Ghana,48843000000,4.412,15.489616,27.05,0
19.08.2014,Ghana,48843000000,4.412,15.489616,24.4375,0.333333333
20.08.2014,Ghana,48843000000,4.412,15.489616,25,21.5
21.08.2014,Ghana,48843000000,4.412,15.489616,24.63333333,0
22.08.2014,Ghana,48843000000,4.412,15.489616,26.48,0
23.08.2014,Ghana,48843000000,4.412,15.489616,25.1,0
24.08.2014,Ghana,48843000000,4.412,15.489616,25.725,0.5
25.08.2014,Ghana,48843000000,4.412,15.489616,26.22222222,0.125
26.08.2014,Ghana,48843000000,4.412,15.489616,23.81666667,0
27.08.2014,Ghana,48843000000,4.412,15.489616,25.16666667,31.625
28.08.2014,Ghana,48843000000,4.412,15.489616,26.42222222,0
29.08.2014,Ghana,48843000000,4.412,15.489616,25.83333333,0
30.08.2014,Ghana,48843000000,4.412,15.489616,26.02222222,5.275
31.08.2014,Ghana,48843000000,4.412,15.489616,25.2,0
01.09.2014,Ghana,48843000000,4.412,15.489616,26.66666667,0
02.09.2014,Ghana,48843000000,4.412,15.489616,25.94444444,0
03.09.2014,Ghana,48843000000,4.412,15.489616,26.1,0
04.09.2014,Ghana,48843000000,4.412,15.489616,24.6,0
05.09.2014,Ghana,48843000000,4.412,15.489616,25,0
06.09.2014,Ghana,48843000000,4.412,15.489616,27.1,0
07.09.2014,Ghana,48843000000,4.412,15.489616,25.9,0
08.09.2014,Ghana,48843000000,4.412,15.489616,25.15,0
09.09.2014,Ghana,48843000000,4.412,15.489616,25.15,0.25
10.09.2014,Ghana,48843000000,4.412,15.489616,25.75,0
11.09.2014,Ghana,48843000000,4.412,15.489616,25.4,6.725
12.09.2014,Ghana,48843000000,4.412,15.489616,25.31111111,5.025
13.09.2014,Ghana,48843000000,4.412,15.489616,25.8,0
14.09.2014,Ghana,48843000000,4.412,15.489616,26.32,0
15.09.2014,Ghana,48843000000,4.412,15.489616,25.62857143,0
16.09.2014,Ghana,48843000000,4.412,15.489616,24.5,2.966666667
17.09.2014,Ghana,48843000000,4.412,15.489616,25.9,9.44
18.09.2014,Ghana,48843000000,4.412,15.489616,24.6,1.683333333
19.09.2014,Ghana,48843000000,4.412,15.489616,26.2,3.3
20.09.2014,Ghana,48843000000,4.412,15.489616,26.3,0
21.09.2014,Ghana,48843000000,4.412,15.489616,26.61111111,0
22.09.2014,Ghana,48843000000,4.412,15.489616,25.8,0
23.09.2014,Ghana,48843000000,4.412,15.489616,27.52,7.175
24.09.2014,Ghana,48843000000,4.412,15.489616,24.8,21.45
25.09.2014,Ghana,48843000000,4.412,15.489616,25.34,12.03333333
26.09.2014,Ghana,48843000000,4.412,15.489616,26.7,5.666666667
27.09.2014,Ghana,48843000000,4.412,15.489616,25.01666667,1.7
28.09.2014,Ghana,48843000000,4.412,15.489616,25.63333333,14.77142857
29.09.2014,Ghana,48843000000,4.412,15.489616,27.15555556,3.657142857
30.09.2014,Ghana,48843000000,4.412,15.489616,25.35,0
01.10.2014,Ghana,48843000000,4.412,15.489616,25.525,7.728571429
02.10.2014,Ghana,48843000000,4.412,15.489616,26.8125,2.166666667
03.10.2014,Ghana,48843000000,4.412,15.489616,25.075,1.42
04.10.2014,Ghana,48843000000,4.412,15.489616,25.4,5.45
05.10.2014,Ghana,48843000000,4.412,15.489616,25.7,0
06.10.2014,Ghana,48843000000,4.412,15.489616,26.82857143,0.325
07.10.2014,Ghana,48843000000,4.412,15.489616,27.45,0
08.10.2014,Ghana,48843000000,4.412,15.489616,26.16666667,0
09.10.2014,Ghana,48843000000,4.412,15.489616,27.52,0.266666667
10.10.2014,Ghana,48843000000,4.412,15.489616,27.2,0
11.10.2014,Ghana,48843000000,4.412,15.489616,27.05,0
12.10.2014,Ghana,48843000000,4.412,15.489616,26.24444444,25.66666667
13.10.2014,Ghana,48843000000,4.412,15.489616,26.94444444,6.466666667
14.10.2014,Ghana,48843000000,4.412,15.489616,27.3,15.875
15.10.2014,Ghana,48843000000,4.412,15.489616,26.36666667,0
16.10.2014,Ghana,48843000000,4.412,15.489616,26.78333333,1
17.10.2014,Ghana,48843000000,4.412,15.489616,27.86666667,0
18.10.2014,Ghana,48843000000,4.412,15.489616,26.8375,5.325
19.10.2014,Ghana,48843000000,4.412,15.489616,27.2,21.025
20.10.2014,Ghana,48843000000,4.412,15.489616,26.9,0
21.10.2014,Ghana,48843000000,4.412,15.489616,27.77777778,16
22.10.2014,Ghana,48843000000,4.412,15.489616,28.65,0
23.10.2014,Ghana,48843000000,4.412,15.489616,26.91111111,2
24.10.2014,Ghana,48843000000,4.412,15.489616,27.21111111,0
25.10.2014,Ghana,48843000000,4.412,15.489616,26.6,1
26.10.2014,Ghana,48843000000,4.412,15.489616,26.86,17.45
27.10.2014,Ghana,48843000000,4.412,15.489616,27.79,0.5
28.10.2014,Ghana,48843000000,4.412,15.489616,26.2,5.95
29.10.2014,Ghana,48843000000,4.412,15.489616,27.53333333,2.05
30.10.2014,Ghana,48843000000,4.412,15.489616,28.6,0
31.10.2014,Ghana,48843000000,4.412,15.489616,28.15,0.5
01.11.2014,Ghana,48843000000,4.412,15.489616,28.15,0
02.11.2014,Ghana,48843000000,4.412,15.489616,28.7,0
03.11.2014,Ghana,48843000000,4.412,15.489616,27.35,0
04.11.2014,Ghana,48843000000,4.412,15.489616,26.45,1
05.11.2014,Ghana,48843000000,4.412,15.489616,26.81666667,0
06.11.2014,Ghana,48843000000,4.412,15.489616,27.62,0
07.11.2014,Ghana,48843000000,4.412,15.489616,27.3125,0
08.11.2014,Ghana,48843000000,4.412,15.489616,27.2,0
09.11.2014,Ghana,48843000000,4.412,15.489616,27.6,0
10.11.2014,Ghana,48843000000,4.412,15.489616,29.85,0
11.11.2014,Ghana,48843000000,4.412,15.489616,26.55,0
12.11.2014,Ghana,48843000000,4.412,15.489616,27.1,0
13.11.2014,Ghana,48843000000,4.412,15.489616,27.8,4.45
14.11.2014,Ghana,48843000000,4.412,15.489616,27.6,0
15.11.2014,Ghana,48843000000,4.412,15.489616,29.05,0
16.11.2014,Ghana,48843000000,4.412,15.489616,29.03333333,0
17.11.2014,Ghana,48843000000,4.412,15.489616,27.2,0
18.11.2014,Ghana,48843000000,4.412,15.489616,26.8,0
19.11.2014,Ghana,48843000000,4.412,15.489616,28.1,0
20.11.2014,Ghana,48843000000,4.412,15.489616,29.35,0
21.11.2014,Ghana,48843000000,4.412,15.489616,27.48333333,5.1
22.11.2014,Ghana,48843000000,4.412,15.489616,27.22222222,0
23.11.2014,Ghana,48843000000,4.412,15.489616,28.98,0
24.11.2014,Ghana,48843000000,4.412,15.489616,26.77142857,0
25.11.2014,Ghana,48843000000,4.412,15.489616,27.67142857,2
26.11.2014,Ghana,48843000000,4.412,15.489616,28.58,0
27.11.2014,Ghana,48843000000,4.412,15.489616,27.42222222,0
28.11.2014,Ghana,48843000000,4.412,15.489616,28.55,0.1
29.11.2014,Ghana,48843000000,4.412,15.489616,28.1,0
30.11.2014,Ghana,48843000000,4.412,15.489616,29.32857143,0
01.12.2014,Ghana,48843000000,4.412,15.489616,28.56,0
02.12.2014,Ghana,48843000000,4.412,15.489616,27.475,0
03.12.2014,Ghana,48843000000,4.412,15.489616,27.22,0
04.12.2014,Ghana,48843000000,4.412,15.489616,27.85,0
05.12.2014,Ghana,48843000000,4.412,15.489616,30.825,0
06.12.2014,Ghana,48843000000,4.412,15.489616,28.94,20.1
07.12.2014,Ghana,48843000000,4.412,15.489616,26.14444444,0
08.12.2014,Ghana,48843000000,4.412,15.489616,29.0125,19.1
09.12.2014,Ghana,48843000000,4.412,15.489616,28.6,0
10.12.2014,Ghana,48843000000,4.412,15.489616,29.65,0
11.12.2014,Ghana,48843000000,4.412,15.489616,26.9,0
12.12.2014,Ghana,48843000000,4.412,15.489616,26.96666667,2.033333333
13.12.2014,Ghana,48843000000,4.412,15.489616,27.525,0
14.12.2014,Ghana,48843000000,4.412,15.489616,28.2,0
15.12.2014,Ghana,48843000000,4.412,15.489616,30.37142857,0
16.12.2014,Ghana,48843000000,4.412,15.489616,28.51111111,0
17.12.2014,Ghana,48843000000,4.412,15.489616,27.31428571,3.55
18.12.2014,Ghana,48843000000,4.412,15.489616,28.7375,0.5
19.12.2014,Ghana,48843000000,4.412,15.489616,28.4,0
20.12.2014,Ghana,48843000000,4.412,15.489616,28.1,0
21.12.2014,Ghana,48843000000,4.412,15.489616,27.65555556,0
22.12.2014,Ghana,48843000000,4.412,15.489616,27.6,0
23.12.2014,Ghana,48843000000,4.412,15.489616,27.45,0
24.12.2014,Ghana,48843000000,4.412,15.489616,26.52,0
25.12.2014,Ghana,48843000000,4.412,15.489616,27.2375,0
26.12.2014,Ghana,48843000000,4.412,15.489616,27.2,0
27.12.2014,Ghana,48843000000,4.412,15.489616,27.4,0
28.12.2014,Ghana,48843000000,4.412,15.489616,29.125,0
29.12.2014,Ghana,48843000000,4.412,15.489616,27.96666667,0
30.12.2014,Ghana,48843000000,4.412,15.489616,28.65555556,0
31.12.2014,Ghana,48843000000,4.412,15.489616,27.1,0
01.01.2015,Ghana,45815000000,6.806,17.1499695,26.56,0
02.01.2015,Ghana,45815000000,6.806,17.1499695,28.4,0
03.01.2015,Ghana,45815000000,6.806,17.1499695,27,0
04.01.2015,Ghana,45815000000,6.806,17.1499695,28.83636364,0
05.01.2015,Ghana,45815000000,6.806,17.1499695,24.65,0
06.01.2015,Ghana,45815000000,6.806,17.1499695,23.7,0
07.01.2015,Ghana,45815000000,6.806,17.1499695,23.7,0
08.01.2015,Ghana,45815000000,6.806,17.1499695,23.7,0
09.01.2015,Ghana,45815000000,6.806,17.1499695,23.7,0
10.01.2015,Ghana,45815000000,6.806,17.1499695,23.7,0
11.01.2015,Ghana,45815000000,6.806,17.1499695,23.7,0
12.01.2015,Ghana,45815000000,6.806,17.1499695,23.7,0
13.01.2015,Ghana,45815000000,6.806,17.1499695,23.7,0
14.01.2015,Ghana,45815000000,6.806,17.1499695,26.2,0
15.01.2015,Ghana,45815000000,6.806,17.1499695,26.38333333,0
16.01.2015,Ghana,45815000000,6.806,17.1499695,26.9,0
17.01.2015,Ghana,45815000000,6.806,17.1499695,26.1,0
18.01.2015,Ghana,45815000000,6.806,17.1499695,27.7,0
19.01.2015,Ghana,45815000000,6.806,17.1499695,28.07,0
20.01.2015,Ghana,45815000000,6.806,17.1499695,27.925,0
21.01.2015,Ghana,45815000000,6.806,17.1499695,28.53,9.55
22.01.2015,Ghana,45815000000,6.806,17.1499695,28.925,0
23.01.2015,Ghana,45815000000,6.806,17.1499695,28.05,0
24.01.2015,Ghana,45815000000,6.806,17.1499695,30.6125,0
25.01.2015,Ghana,45815000000,6.806,17.1499695,28.67777778,0.3
26.01.2015,Ghana,45815000000,6.806,17.1499695,28.75,0
27.01.2015,Ghana,45815000000,6.806,17.1499695,28.95555556,3
28.01.2015,Ghana,45815000000,6.806,17.1499695,28.225,0
29.01.2015,Ghana,45815000000,6.806,17.1499695,30.26666667,0
30.01.2015,Ghana,45815000000,6.806,17.1499695,29.05555556,0
31.01.2015,Ghana,45815000000,6.806,17.1499695,27.91111111,0
01.02.2015,Ghana,45815000000,6.806,17.1499695,28.4,0
02.02.2015,Ghana,45815000000,6.806,17.1499695,27.57142857,11.9
03.02.2015,Ghana,45815000000,6.806,17.1499695,31.1,0
04.02.2015,Ghana,45815000000,6.806,17.1499695,29.775,0
05.02.2015,Ghana,45815000000,6.806,17.1499695,29.6,2.3
06.02.2015,Ghana,45815000000,6.806,17.1499695,28.83333333,5.225
07.02.2015,Ghana,45815000000,6.806,17.1499695,29.91428571,0
08.02.2015,Ghana,45815000000,6.806,17.1499695,32.22857143,0
09.02.2015,Ghana,45815000000,6.806,17.1499695,30.19,0
10.02.2015,Ghana,45815000000,6.806,17.1499695,28.88333333,5.1
11.02.2015,Ghana,45815000000,6.806,17.1499695,28.425,0.3
12.02.2015,Ghana,45815000000,6.806,17.1499695,28.9,21.61666667
13.02.2015,Ghana,45815000000,6.806,17.1499695,30.87777778,0
14.02.2015,Ghana,45815000000,6.806,17.1499695,30.50909091,0
15.02.2015,Ghana,45815000000,6.806,17.1499695,29.97777778,0
16.02.2015,Ghana,45815000000,6.806,17.1499695,28.24444444,0
17.02.2015,Ghana,45815000000,6.806,17.1499695,28.76,0
18.02.2015,Ghana,45815000000,6.806,17.1499695,30.17272727,0
19.02.2015,Ghana,45815000000,6.806,17.1499695,28.8,12.35
20.02.2015,Ghana,45815000000,6.806,17.1499695,28.54444444,3.05
