"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"CMM00064860","GAROUA, CM","2014-08-23","0.00",,"83","90",
"CMM00064860","GAROUA, CM","2014-08-24",,,"84",,
"CMM00064860","GAROUA, CM","2014-08-25","1.54",,"73",,"68"
"CMM00064860","GAROUA, CM","2014-08-26","0.00",,"79","86",
"CMM00064860","GAROUA, CM","2014-08-27",,,"79",,
"CMM00064860","GAROUA, CM","2014-08-28",,,"85","92","76"
"CMM00064860","GAROUA, CM","2014-08-29",,,"81","84","78"
"CMM00064860","GAROUA, CM","2014-08-30",,,"80",,
"CMM00064860","GAROUA, CM","2014-08-31",,,"82",,"73"
"CMM00064860","GAROUA, CM","2014-09-01",,,"84",,
"CMM00064860","GAROUA, CM","2014-09-02",,,"74",,
"CMM00064860","GAROUA, CM","2014-09-03",,,"79","85","72"
"CMM00064860","GAROUA, CM","2014-09-04",,,"81","90","75"
"CMM00064860","GAROUA, CM","2014-09-05",,,"79",,
"CMM00064860","GAROUA, CM","2014-09-08",,,"83",,
"CMM00064860","GAROUA, CM","2014-09-09","0.00",,"84",,"75"
"CMM00064860","GAROUA, CM","2014-09-10","0.00",,"82","92","76"
"CMM00064860","GAROUA, CM","2014-09-11",,,"84",,"73"
"CMM00064860","GAROUA, CM","2014-09-12",,,"84","93","74"
"CMM00064860","GAROUA, CM","2014-09-13",,,"84","93",
"CMM00064860","GAROUA, CM","2014-09-14",,,"86","92",
"CMM00064860","GAROUA, CM","2014-09-15","0.00",,"77",,
"CMM00064860","GAROUA, CM","2014-09-16","1.54",,"78","88","73"
"CMM00064860","GAROUA, CM","2014-09-17","0.24",,"80","88","72"
"CMM00064860","GAROUA, CM","2014-09-18","0.00",,"81","92",
"CMM00064860","GAROUA, CM","2014-09-19",,,"82","93",
"CMM00064860","GAROUA, CM","2014-09-20",,,"82","93",
"CMM00064860","GAROUA, CM","2014-09-21","0.35",,"78","91","72"
"CMM00064860","GAROUA, CM","2014-09-22","1.38",,"80","91","72"
"CMM00064860","GAROUA, CM","2014-09-23","0.12",,"81","92",
"CMM00064860","GAROUA, CM","2014-09-24","0.00",,"84","93",
"CMM00064860","GAROUA, CM","2014-09-25","0.03",,"82","90","73"
"CMM00064860","GAROUA, CM","2014-09-26","0.00",,"81","86","76"
"CMM00064860","GAROUA, CM","2014-09-27",,,"83","90","73"
"CMM00064860","GAROUA, CM","2014-09-28",,,"80",,"71"
"CMM00064860","GAROUA, CM","2014-09-29",,,"80","87",
"CMM00064860","GAROUA, CM","2014-09-30","0.12",,"83","91","73"
"CMM00064860","GAROUA, CM","2014-10-01","0.35",,"80",,
"CMM00064860","GAROUA, CM","2014-10-02","0.08",,"83","89","73"
"CMM00064860","GAROUA, CM","2014-10-03","0.00",,"83","90","76"
"CMM00064860","GAROUA, CM","2014-10-04","0.39",,"83","93","73"
"CMM00064860","GAROUA, CM","2014-10-05","0.00",,"82","94",
"CMM00064860","GAROUA, CM","2014-10-06","0.59",,"83","93","73"
"CMM00064860","GAROUA, CM","2014-10-07","0.00",,"85","94","73"
"CMM00064860","GAROUA, CM","2014-10-08",,,"85","94","75"
"CMM00064860","GAROUA, CM","2014-10-09",,,"87","96","78"
"CMM00064860","GAROUA, CM","2014-10-10","0.51",,"80","88","72"
"CMM00064860","GAROUA, CM","2014-10-11","0.01",,"83",,"72"
"CMM00064860","GAROUA, CM","2014-10-12","0.00",,"84","92",
"CMM00064860","GAROUA, CM","2014-10-13","0.55",,"81",,
"CMM00064860","GAROUA, CM","2014-10-14","1.10",,"81","90","72"
"CMM00064860","GAROUA, CM","2014-10-15","0.00",,"83","93","74"
"CMM00064860","GAROUA, CM","2014-10-16",,,"83","95","76"
"CMM00064860","GAROUA, CM","2014-10-17",,,"85","96","76"
"CMM00064860","GAROUA, CM","2014-10-18",,,"83","96","76"
"CMM00064860","GAROUA, CM","2014-10-19",,,"83","96","72"
"CMM00064860","GAROUA, CM","2014-10-20",,,"83","96","72"
"CMM00064860","GAROUA, CM","2014-10-21",,,"85","95","72"
"CMM00064860","GAROUA, CM","2014-10-22",,,"86","97","72"
"CMM00064860","GAROUA, CM","2014-10-23",,,"82","94",
"CMM00064860","GAROUA, CM","2014-10-24",,,"84","97","74"
"CMM00064860","GAROUA, CM","2014-10-25",,,"88","99","74"
"CMM00064860","GAROUA, CM","2014-10-26",,,"89","98","77"
"CMM00064860","GAROUA, CM","2014-10-27",,,"86",,"76"
"CMM00064860","GAROUA, CM","2014-10-28",,,"88",,"73"
